id,pop
1000000US170310106001010,160
1000000US170310106001011,82
1000000US170310106001012,45
1000000US170310106001013,26
1000000US170310106001014,78
1000000US170310106001015,52
1000000US170310106001016,72
1000000US170310106001017,45
1000000US170310106001018,20
1000000US170310106001019,113
1000000US170310106001020,91
1000000US170310106001021,47
1000000US170310106001022,0
1000000US170310106002000,0
1000000US170310106002001,187
1000000US170310106002002,59
1000000US170310106002003,64
1000000US170310106002004,70
1000000US170310106002005,292
1000000US170310106002006,180
1000000US170310106002007,0
1000000US170310106002008,0
1000000US170310106003000,163
1000000US170310106003001,183
1000000US170310106003002,136
1000000US170310106003003,157
1000000US170310106003004,119
1000000US170310106003005,102
1000000US170310106003006,149
1000000US170310106003007,256
1000000US170310106003008,145
1000000US170310106003009,213
1000000US170310106003010,111
1000000US170310106003011,164
1000000US170310106003012,0
1000000US170310106004000,0
1000000US170310106004001,0
1000000US170310106004002,118
1000000US170310106004003,9
1000000US170310106004004,44
1000000US170310106004005,0
1000000US170310106004006,0
1000000US170310106004007,231
1000000US170310106004008,101
1000000US170310106004009,130
1000000US170310106004010,199
1000000US170310106004011,145
1000000US170310106004012,46
1000000US170310106004013,90
1000000US170310106004014,343
1000000US170310107011000,0
1000000US170310107011001,47
1000000US170310107011002,196
1000000US170310107011003,43
1000000US170310107011004,188
1000000US170310107011005,41
1000000US170310107011006,0
1000000US170310107011007,0
1000000US170310107011008,63
1000000US170310107011009,237
1000000US170310107011010,115
1000000US170310107011011,94
1000000US170310107011012,59
1000000US170310107011013,45
1000000US170310107011014,112
1000000US170310107011015,44
1000000US170310107011016,243
1000000US170310107011017,109
1000000US170310107012000,257
1000000US170310107012001,148
1000000US170310107012002,120
1000000US170310107012003,230
1000000US170310107012004,124
1000000US170310107012005,125
1000000US170310107012006,123
1000000US170310107012007,148
1000000US170310107012008,36
1000000US170310107012009,64
1000000US170310107012010,237
1000000US170310107012011,46
1000000US170310107012012,54
1000000US170310107012013,88
1000000US170310107012014,22
1000000US170310107012015,194
1000000US170310107012016,41
1000000US170310107012017,68
1000000US170310107012018,103
1000000US170310107021000,176
1000000US170310107021001,132
1000000US170310107021002,10
1000000US170310107021003,84
1000000US170310107021004,70
1000000US170310107021005,223
1000000US170310107021006,295
1000000US170310107021007,81
1000000US170310107021008,22
1000000US170310107021009,11
1000000US170310107021010,13
1000000US170310107021011,207
1000000US170310107021012,248
1000000US170310107022000,257
1000000US170310107022001,123
1000000US170310107022002,2
1000000US170310107022003,78
1000000US170310107022004,89
1000000US170310107022005,0
1000000US170310107022006,6
1000000US170310107022007,41
1000000US170310107022008,282
1000000US170310107022009,204
1000000US170310107023000,83
1000000US170310107023001,337
1000000US170310107023002,66
1000000US170310107023003,107
1000000US170310107023004,103
1000000US170310107023005,7
1000000US170310107023006,265
1000000US170310107023007,158
1000000US170310107023008,416
1000000US170310107023009,69
1000000US170310107024000,235
1000000US170310107024001,120
1000000US170310107024002,105
1000000US170310107024003,63
1000000US170310107024004,201
1000000US170310107024005,154
1000000US170310201001000,146
1000000US170310201001001,117
1000000US170310201001002,168
1000000US170310201001003,136
1000000US170310201001004,103
1000000US170310201001005,69
1000000US170310201001006,13
1000000US170310201001007,24
1000000US170310201001008,112
1000000US170310201001009,69
1000000US170310201001010,55
1000000US170310201001011,86
1000000US170310201001012,140
1000000US170310201001013,54
1000000US170310201001014,97
1000000US170310201001015,86
1000000US170310201001016,94
1000000US170310201001017,80
1000000US170310201001018,185
1000000US170310201001019,39
1000000US170310201001020,87
1000000US170310201001021,49
1000000US170310201001022,87
1000000US170310201001023,126
1000000US170310201001024,12
1000000US170310201001025,179
1000000US170310201002000,0
1000000US170310201002001,1115
1000000US170310201002002,0
1000000US170310201002003,12
1000000US170310201002004,11
1000000US170310201002005,0
1000000US170310201002006,143
1000000US170310201002007,137
1000000US170310201002008,134
1000000US170310202001000,0
1000000US170310202001001,52
1000000US170310202001002,51
1000000US170310202001003,50
1000000US170310202001004,57
1000000US170310202001005,46
1000000US170310202001006,46
1000000US170310202001007,40
1000000US170310202001008,43
1000000US170310202001009,64
1000000US170310202001010,270
1000000US170310202001011,45
1000000US170310202001012,527
1000000US170310202001013,31
1000000US170310202001014,17
1000000US170310202001015,30
1000000US170310202001016,15
1000000US170310202001017,54
1000000US170310202001018,73
1000000US170310202001019,46
1000000US170310202001020,43
1000000US170310202001021,78
1000000US170310202002000,51
