CENSUS BLOCK,Pop
0202001003,50
0202001004,57
0202001005,46
0202001006,46
0202001007,40
0202001008,43
0202001009,64
0202001010,270
0202001011,45
0202001012,527
0202001013,31
0202001014,17
0202001015,30
0202001016,15
0202001017,54
0202001018,73
0202001019,46
0202001020,43
0202001021,78
0202002000,51
0202002001,108
0202002002,85
0202002003,16
0202002004,16
0202002005,28
0202002006,18
0202002007,525
0202002008,46
0202002009,104
0202002010,90
0202002011,47
0202002012,33
0202002013,160
0202002014,66
0202003000,55
0202003001,61
0202003002,66
0202003003,53
0202003004,52
0202003005,66
0202003006,50
0202003007,74
0202003008,54
0202003009,53
0202003010,25
0202003011,26
0202003012,33
0202003013,55
0202003014,40
0202003015,41
0202003016,64
0202003017,30
0202003018,35
0202003019,43
0202003020,45
0202003021,31
0202003022,23
0202003023,52
0202003024,76
0202003025,27
0202003026,29
0202003027,17
0202003028,31
0202003029,25
0202003030,43
0202003031,61
0202003032,45
0202003033,8
0202003034,15
0202003035,34
0202003036,45
0202003037,47
0202003038,29
0202003039,19
0202004000,109
0202004001,246
0202004002,72
0202004003,80
0202004004,22
0202004005,13
0202004006,52
0202004007,0
0202004008,41
0202004009,34
0202004010,47
0202004011,31
0202004012,32
0202004013,30
0202004014,21
0202004015,39
0202004016,32
0202004017,145
0202004018,23
0202004019,23
0202004020,17
0202004021,82
0202004022,90
0202004023,0
0202004024,16
0202004025,16
0202004026,17
0202004027,25
0202004028,27
0202004029,24
0202004030,28
0202004031,23
0202004032,18
0202004033,52
0202004034,18
0202004035,20
0202004036,28
0202004037,28
0202004038,28
0202004039,31
0202004040,30
0202004041,42
0202004042,38
0202004043,22
0202004044,53
0202004045,36
0202004046,26
0203011000,0
0203011001,125
0203011002,319
0203011003,360
0203011004,0
0203011005,0
0203011006,405
0203011007,0
0203011008,349
0203012000,259
0203012001,356
0203012002,121
0203012003,91
0203012004,34
0203012005,51
0203012006,55
0203012007,56
0203012008,71
0203012009,65
0203012010,90
0203012011,101
0203013000,6
0203013001,0
0203013002,2
0203013003,70
0203013004,55
0203013005,63
0203013006,75
0203013007,49
0203013008,58
0203013009,49
0203013010,62
0203013011,62
0203013012,55
0203013013,53
0203013014,56
0203013015,55
0203013016,109
0203013017,124
0203013018,46
0203013019,81
0203013020,62
0203013021,63
0203013022,51
0203013023,40
0203013024,58
0203013025,245
0203013026,127
0203013027,66
0203021000,104
0203021001,20
0203021002,73
0203021003,169
0203021004,171
0203021005,39
0203021006,77
0203021007,93
0203021008,116
0203021009,96
0203021010,88
0203021011,156
0203021012,132
0203022000,91
0203022001,95
0203022002,92
0203022003,78
0203022004,111
0203022005,58
0203022006,64
0203022007,51
0203022008,38
0203022009,52
0203022010,36
0203022011,49
0203022012,41
0203022013,42
0203022014,98
0203023000,370
0203023001,0
0203023002,60
0203023003,73
0203023004,348
0203023005,131
0203023006,146
0203023007,0
0203023008,21
0203023009,68
0203023010,12
0203023011,62
0203023012,132
0203023013,0
0203023014,46
0203023015,37
0203023016,26
0203023017,94
0203023018,45
0203023019,41
0203023020,39
0203023021,30
0203023022,11
0203023023,0
0203023024,33
0203023025,39
0203023026,31
0203023027,49
0203023028,43
0203023029,43
0203023030,33
0203023031,55
0203023032,37
0203023033,81
0203023034,65
0203023035,19
0203023036,0
0204001000,13
0204001001,85
0204001002,150
0204001003,132
0204001004,67
0204001005,31
0204001006,61
0204001007,40
0204001008,43
0204001009,34
0204001010,42
0204001011,40
0204001012,37
0204001013,6
0204002000,103
0204002001,10
0204002002,28
0204002003,28
0204002004,66
0204002005,55
0204002006,37
0204002007,29
0204002008,45
0204002009,33
0204002010,105
0204002011,54
0204002012,74
0204002013,51
0204002014,89
0204002015,39
0204002016,41
0204002017,16
0204002018,196
0204002019,81
0204002020,44
0204002021,154
0204002022,102
0204003000,127
0204003001,330
0204003002,43
0204003003,154
0204003004,65
0204003005,9
0204003006,61
0204003007,170
0204003008,93
0204003009,119
0204003010,158
0204003011,212
0204003012,89
0204003013,134
0204003014,85
0204003015,28
0204003016,30
0205001000,762
0205001001,275
0205001002,92
0205001003,138
0205001004,120
0205001005,120
0205001006,46
0205001007,155
0205001008,0
0205001009,109
0205001010,102
0205001011,48
0205001012,195
0205001013,85
0205001014,51
0205001015,67
0205001016,147
0205002000,71
0205002001,57
0205002002,70
0205002003,159
0205002004,0
0205002005,30
0205002006,38
0205002007,104
0205002008,133
0205002009,96
0205002010,39
0205002011,112
0205003000,0
0205003001,328
0205003002,237
0205003003,92
0205003004,228
0205003005,203
0205003006,397
0205003007,154
0205003008,103
0205004000,164
0205004001,102
0205004002,117
0205004003,79
0205004004,54
0205004005,103
0205004006,70
0205004007,114
0205004008,123
0205004009,47
0205004010,78
0206011000,0
0206011001,32
0206011002,28
0206011003,17
0206011004,34
0206011005,27
0206011006,18
0206011007,114
0206011008,164
0206011009,213
0206011010,29
0206011011,79
0206011012,62
0206011013,90
0206011014,51
0206011015,37
0206011016,36
0206011017,27
0206011018,46
0206011019,48
0206011020,60
0206011021,70
0206011022,72
0206011023,69
0206011024,42
0206011025,63
0206011026,70
0206011027,50
0206011028,91
0206011029,87
0206012000,186
0206012001,208
0206012002,174
0206012003,229
0206012004,165
0206012005,166
0206012006,126
0206012007,75
0206012008,69
