CENSUS BLOCK,Pop
0705003002,85
0705003003,61
0705003004,120
0705003005,90
0705003006,155
0705003007,76
0705003008,92
0705003009,62
0705003010,130
0705003011,21
0706001000,24
0706001001,50
0706001002,38
0706001003,54
0706001004,139
0706001005,139
0706001006,174
0706001007,731
0706001008,5
0706001009,44
0706001010,37
0706001011,63
0706001012,29
0706001013,145
0706001014,63
0706002000,26
0706002001,106
0706002002,52
0706002003,50
0706002004,56
0706002005,81
0706002006,16
0706002007,42
0706002008,31
0706002009,60
0706002010,128
0706002011,69
0706002012,33
0706002013,76
0706002014,31
0706002015,32
0706002016,56
0706002017,0
0706002018,69
0706002019,21
0706002020,26
0706002021,11
0706002022,42
0706002023,56
0706002024,76
0707001000,179
0707001001,0
0707001002,104
0707001003,86
0707001004,331
0707001005,646
0707001006,78
0707001007,182
0707001008,133
0707001009,48
0707001010,2
0707001011,74
0707001012,31
0707001013,110
0707001014,145
0707001015,159
0707001016,84
0707001017,0
0707001018,3
0707002000,0
0707002001,117
0707002002,197
0707002003,0
0707002004,0
0707002005,85
0707002006,0
0707002007,134
0707002008,14
0707002009,174
0707002010,36
0707002011,76
0707002012,111
0707002013,86
0707002014,56
0707002015,0
0710001000,397
0710001001,14
0710001002,316
0710001003,938
0710001004,0
0710001005,2
0710001006,109
0710001007,175
0710001008,91
0710001009,82
0710001010,77
0710001011,52
0710001012,109
0710001013,0
0710001014,51
0710001015,63
0710001016,89
0710001017,75
0710002000,60
0710002001,68
0710002002,54
0710002003,83
0710002004,48
0710002005,99
0710002006,95
0710002007,68
0710002008,62
0710002009,143
0710002010,82
0710002011,69
0710002012,81
0710002013,52
0710002014,54
0710002015,88
0710002016,84
0710002017,58
0710002018,55
0710002019,89
0710002020,73
0710002021,77
0710002022,77
0710002023,83
0711001000,22
0711001001,22
0711001002,29
0711001003,408
0711001004,29
0711001005,0
0711001006,105
0711001007,13
0711001008,39
0711001009,27
0711001010,37
0711001011,32
0711001012,29
0711001013,48
0711001014,63
0711001015,31
0711001016,136
0711001017,94
0711001018,53
0711001019,59
0711001020,79
0711001021,83
0711001022,83
0711001023,68
0711001024,7
0711001025,47
0711002000,111
0711002001,46
0711002002,40
0711002003,0
0711002004,67
0711002005,94
0711002006,35
0711002007,61
0711002008,15
0711002009,32
0711002010,43
0711002011,64
0711002012,142
0711002013,135
0711002014,89
0711002015,73
0711002016,88
0711002017,41
0711002018,51
0711002019,37
0711002020,37
0712001000,100
0712001001,23
0712001002,0
0712001003,0
0712001004,40
0712001005,73
0712001006,0
0712001007,90
0712001008,0
0712001009,23
0712001010,26
0712001011,136
0712001012,37
0712001013,100
0712001014,171
0712001015,30
0712001016,55
0712002000,112
0712002001,91
0712002002,117
0712002003,95
0712002004,131
0712002005,70
0712002006,118
0712002007,0
0712002008,74
0712002009,0
0712002010,100
0712002011,94
0713001000,345
0713001001,145
0713001002,43
0713001003,79
0713001004,134
0713001005,61
0713001006,74
0713001007,66
0713001008,88
0713001009,18
0713001010,86
0713001011,99
0713001012,192
0713001013,93
0713001014,207
0713002000,580
0713002001,77
0713002002,173
0713002003,82
0713002004,54
0713002005,5
0713002006,51
0713002007,40
0713002008,0
0713002009,125
0713002010,35
0713002011,78
0713002012,88
0713002013,95
0713002014,110
0713002015,190
0714001000,109
0714001001,197
0714001002,89
0714001003,70
0714001004,344
0714001005,0
0714002001,0
0714002002,0
0714002003,0
0714002004,215
0714002005,751
0714002006,0
0714002007,0
0714002008,0
0714002009,0
0714002010,733
0714002011,0
0714003000,418
0714003001,244
0714003002,805
0714003003,0
0714004000,0
0714004001,74
0714004002,91
0714004003,397
0714004004,33
0715001000,59
0715001001,78
0715001002,112
0715001003,59
0715001004,24
0715001005,110
0715001006,46
0715001007,583
0715001008,29
0715001009,0
0715001010,0
0715002000,1088
0715002001,0
0715003001,0
0715003002,0
0715003003,0
0715003004,0
0715003005,0
0715003006,0
0715003007,0
0715003008,0
0715003009,0
0715003010,0
0715003011,838
0715003012,2
0715003013,0
0715003014,11
0715003015,16
0715003016,140
0715003017,144
0715003018,0
0715003019,0
0715003020,0
0715003021,0
0715003022,0
0715003023,88
0715003024,47
0715004000,46
0715004001,44
0715004002,99
0715004003,40
0715004004,85
0715004005,40
0715004006,109
0715004007,115
0715004008,5
0715004009,93
0715004010,38
0715004011,80
0715004012,8
0715004013,221
0715004014,0
0715005000,0
0715005001,5
0715005002,569
0715005003,55
0715005004,0
0715005005,0
0715006000,370
0715006001,30
0715006002,105
0715006003,9
0715006004,86
0715006005,42
0716001000,64
0716001001,174
0716001002,112
0716001003,103
0716001004,148
0716001005,45
0716001006,79
0716001007,98
0716001008,128
0716001009,81
0716001010,126
0716001011,85
0716001012,85
0716001013,98
0716001014,81
0716001015,129
0716001016,147
0717001000,116
0717001001,57
0717001002,51
0717001003,33
0717001004,70
0717001005,73
0717001006,144
0717001007,147
0717001008,53
0717002000,41
0717002001,238
0717002002,217
0717002003,221
0717002004,6
0717002005,0
0717002006,0
0717002007,25
0717002008,98
0717002009,62
0718001000,183
0718001001,221
0718001002,55
0718001003,24
0718001004,27
0718001005,247
0718001006,167
0718001007,123
0718001008,543
0718001009,136
0718001010,126
0718001011,45
0718001012,213
0718002000,328
0718002001,107
0718002002,98
0718002003,3
0801001000,53
0801001001,134
0801001002,56
0801001003,25
0801001004,236
0801002000,152
0801002001,30
0801002002,126
0801002003,259
0801002004,259
0801002005,76
0801002006,151
0801003000,829
0801003001,116
0801004000,0
0801004001,0
0801004002,0
0801004003,376
0801004004,158
0801004005,24
0801004006,344
0801004007,101
0801004008,9
0801004009,90
0801005000,0
0801005001,0
0801005002,0
0801005003,0
0801005004,35
0801005005,166
0801005006,264
0801005007,609
0801005008,0
0801005009,0
0801005010,0
0801005011,0
0801005012,0
0801005013,0
0801005014,0
0801005015,0
0801005016,0
0801006000,498
0801006001,166
0801006002,125
0801007000,338
0801007001,208
0802011000,63
0802011001,6
0802011002,831
0802011003,0
0802011004,269
0802011005,46
0802011006,164
0802011007,0
0802012000,227
0802012001,110
0802012002,183
0802012003,232
0802012004,0
0802012005,634
0802012006,0
0802013000,310
0802013001,212
0802021000,87
0802021001,446
0802021002,0
0802022000,375
0802022001,149
0802022002,712
0802022003,0
0802023000,166
0802023001,285
0802023002,148
0802023003,457
0802023004,264
0802023005,409
0803001000,105
0803001001,159
0803001002,311
0803001003,0
0803001004,40
0803001005,50
0803001006,38
0803001007,0
0803002000,665
0803002001,44
0803002002,583
0803002003,26
0803002004,73
0803002005,27
0803002006,48
0803002007,221
0803003000,17
0803003001,2
0803003002,0
0803003003,101
0803003004,145
0803003005,0
0803003006,270
0803003007,14
0803003008,32
0803003009,14
0803003010,252
0803004000,774
0803004001,45
0803004002,3
0803004003,0
0803004004,0
0803004005,256
0804001000,9
0804001001,4
0804001002,47
0804001003,36
0804001004,95
0804001005,126
0804001006,163
0804001007,122
0804001008,761
0804001009,371
0804001010,831
0804002000,192
0804002001,68
0804002002,172
0804002003,34
0804002004,118
0804002005,0
0804003000,16
0804003001,7
0804003002,109
0804003003,21
0804003004,58
0804003005,75
0804003006,124
0804003007,137
0804003008,88
0804003009,74
0804003010,451
0804003011,8
0810001000,0
0810001001,372
0810001002,5
0810001003,0
0810002000,0
0810002001,100
0810002002,28
0810002003,42
0810002004,9
0810002005,478
0810002006,0
0810002007,278
0810002008,8
0810002009,283
0810002010,75
0810003000,335
0810003001,249
0810003002,388
0810003003,40
0810003004,7
0810003005,38
0810004000,63
0810004001,37
0810004002,1276
0810005000,2
0810005001,522
0810005002,8
0810005003,1285
0810005004,2
0810005005,299
0810005006,7
0810006000,65
0810006001,0
0810006002,333
0810006003,8
0810006004,904
0811001000,672
0811001001,161
0811001002,0
0811001003,0
0811001004,8
0811001005,210
0811002000,424
0811002001,204
0811002002,530
0811003000,87
0811003001,56
0811003002,925
0811003003,363
0812011000,456
0812011001,0
0812011002,3
0812011003,0
0812011004,233
0812011005,0
0812011006,83
0812011007,41
0812011008,0
0812012000,0
0812012001,244
0812012002,2
0812012003,533
0812012004,684
0812012005,0
0812012006,395
0812012007,2
0812012008,139
0812012009,142
0812012010,8
0812013000,724
0812013001,77
0812013002,293
0812013003,0
0812021002,0
0812021003,0
0812021004,0
0812021005,0
0812021006,0
0812021007,0
0812021008,0
0812021009,2
0812021010,556
0812022000,645
0812022001,175
0812022002,0
0812022003,0
0812022004,0
0812023000,632
0812023001,226
0812024000,759
0813001000,251
0813001001,521
0813002000,0
0813002001,0
0813002002,0
0813002003,544
0813002004,0
0813002005,0
0813002006,0
0813003000,117
0813003001,664
0813004000,337
0813004001,507
0813004002,0
0813004003,709
0813004004,0
0813004005,0
0813004006,0
0813004007,3
0813004008,0
0813005000,369
0813005001,238
0813006000,347
0813006001,273
0813006002,4
0814011000,622
0814011001,0
0814011002,0
0814011003,0
0814011004,0
0814011005,361
0814011006,0
0814011007,0
0814011008,0
0814012000,0
0814012001,0
0814012002,0
0814012003,0
0814012004,0
0814012005,0
0814012006,39
0814012007,0
0814012008,0
0814012009,0
0814012010,0
0814012011,546
0814012012,0
0814012013,0
0814012014,711
0814012015,0
0814012016,0
0814021000,0
0814021001,0
0814021002,0
0814021003,0
0814021004,0
0814021005,0
0814021006,0
0814021007,0
0814021008,428
0814021009,726
0814021010,774
0814021011,0
0814021012,0
0814021013,0
0814021014,0
0814021015,0
0814022000,0
0814022001,1477
0814023000,299
0814023001,539
0814031005,0
0814031009,620
0814031010,370
0814031011,0
0814031012,0
0814031013,151
0814031014,0
0814031015,0
0814031016,0
0814031017,0
0814031018,0
0814031020,0
0814031021,485
0814031022,0
0814031027,562
0814031028,101
0814031030,97
0814031031,4
0814031032,0
0814031033,0
0814031034,345
0814031035,22
0814031036,0
0814031037,0
0814031038,0
0814031039,0
0814031040,0
0814032000,1259
0814032001,255
0814032002,0
0814032003,0
0814032004,0
0814032005,0
0814032006,0
0814033000,648
0814033001,0
0814033002,708
0814033003,140
0814033004,0
0814033005,462
0815001000,11
0815001001,273
0815001002,0
0815001003,617
0815001004,466
0815001005,0
0815002000,0
0815002001,307
0815002002,218
0815002003,3
0815002004,440
0815002005,213
0815002006,0
0815002007,0
0815002008,277
0815002009,0
0815002010,0
0815002011,0
0815002012,0
0815002013,29
0815002014,0
0815002015,0
0815003000,0
0815003001,0
0815003002,0
0815003003,570
0815003004,0
0815003005,0
0815003006,0
0815003007,752
0815003008,0
0815003009,0
0815003010,0
0815003011,0
0815003012,203
0815003013,0
0815003014,0
0816001000,396
0816001001,0
0816001002,511
0816001003,787
0816001004,0
0816001005,0
0816001006,18
0816001007,0
0816001008,0
0816001009,0
0816001010,0
0816001011,929
0816002000,0
0816002001,4
0816002002,748
0816002003,152
0817001000,503
0817001001,0
0817001002,65
0817001003,56
0817001004,0
0817001005,10
0817001006,15
0817001007,115
0817001008,0
0817001009,75
0817001010,48
0817001011,0
0817001012,295
0817001013,72
0817001014,1
0817002000,387
0817002001,0
0817002002,0
0817002003,0
0817002004,3
0817002005,0
0817002006,22
0817002007,5
0817002008,0
0817002009,0
0817002010,2
0817002011,0
0817002012,0
0817002013,0
0817002014,0
0817002015,84
0817002016,0
0817002017,0
0817002018,0
0817002019,199
0817002020,0
0817002021,0
0817002022,0
0817002023,14
0817002024,3
0817002025,0
0817002026,0
0817002027,27
0817002028,158
0817002029,0
0817002030,0
0817002031,20
0817002032,0
0817002033,0
0817002034,0
0817002035,3
0817002036,0
0817002037,0
0817002038,21
0817002039,0
0817002040,0
0817002041,2
0817002042,0
0817002043,0
0817002044,0
0817002045,0
0817002046,0
0817002047,335
0817002048,0
0817002049,527
0817002050,35
0817002051,0
0818001000,127
0818001001,19
0818001002,38
0818001003,287
0818001004,265
0818001005,351
0818001006,0
0818001007,2
0818001008,536
0818001009,177
0818001010,332
0818001011,0
0818001012,0
0818001013,138
0818001014,13
0818001015,145
0818001016,444
0818001017,231
0818001018,0
0818001019,0
0818001020,180
0818002000,0
0818002001,8
0818002002,0
0818002003,0
0818002004,13
0818002005,0
0818002006,0
0818002007,27
0818002008,0
0818002009,0
0818002010,3
0818002011,0
0818002012,0
0818002013,0
0818002014,0
0818002015,364
0818002016,157
0818002017,34
0818002018,158
0818002019,1
0818002020,0
0818002021,0
0818002022,4
0818002023,0
0818002024,5
0818002025,0
0818002026,0
0818002027,0
0818002028,0
0818002029,8
0818002030,0
0818002031,0
0818002032,0
0818002033,0
0818002034,120
0818002035,0
0818002036,0
0818002037,0
0818002038,29
0818002039,0
0818002040,0
0818002041,0
0818002042,0
0818002043,225
0818002044,0
0818002045,14
0818002046,169
0818002047,0
0818002048,0
0818002049,0
0818002050,0
0818002051,0
0818002052,215
0818002053,105
0818002054,54
0818002055,0
0818002056,437
0818002057,0
0818003000,0
0818003001,0
0818003002,0
0818003003,0
0818003004,58
0818003005,0
0818003006,195
0818003007,487
0818003008,372
0818003009,0
0818003010,0
0818003011,19
0818003012,0
0818003013,0
0818003014,9
0818003015,0
0818003016,0
0818003017,0
0818003018,5
0818003019,286
0818003020,0
0818003021,0
0818003022,0
0818003023,0
0818003024,0
0818003025,0
0818003026,0
0819001000,18
0819001001,23
0819001002,72
0819001003,134
0819001004,343
0819001005,185
0819001006,53
0819001007,59
0819001008,51
0819001009,40
0819001010,33
0819001011,42
0901001000,0
0901001001,4
0901001002,41
0901001003,21
0901001004,24
0901001005,16
0901001006,8
0901001007,38
0901001008,35
0901001009,29
0901001010,27
0901001011,23
0901001012,43
0901001013,34
0901001014,29
0901001015,33
0901001016,33
0901001017,39
0901001018,53
0901001019,37
0901001020,47
0901001021,39
0901001022,33
0901001023,42
0901001024,39
0901001025,37
0901001026,34
0901001027,38
0901001028,16
0901001029,92
0901002000,141
0901002001,36
0901002002,39
0901002003,50
0901002004,30
0901002005,39
0901002006,34
0901002007,47
0901002008,38
0901002009,34
0901002010,46
0901002011,31
0901002012,26
0901002013,28
0901002014,25
0901002015,15
0901002016,27
0901002017,33
0901002018,37
0901002019,34
0901002020,20
0901002021,29
0901002022,32
0901002023,0
0901002024,6
0901002025,0
0901002026,22
0901002027,0
0901002028,12
0901003000,34
0901003001,46
0901003002,35
0901003003,39
0901003004,44
0901003005,37
0901003006,3
0901003007,122
0901003008,30
0901003009,6
0901003010,18
0901003011,20
0901003012,9
0901003013,7
0901003014,14
0901003015,12
0901003016,4
0901003017,64
0901003018,29
0901003019,47
0901003020,34
0901003021,26
0901003022,0
0901003023,5
0901004000,13
0901004001,10
0901004002,16
0901004003,36
0901004004,36
0901004005,52
0901004006,14
0901004007,16
0901004008,22
0901004009,14
0901004010,15
0901004011,25
0901004012,32
0901004013,30
0901004014,32
0901004015,45
0901004016,31
0901004017,24
0901004018,26
0901004019,20
0901004020,39
0901004021,25
0901004022,35
0901004023,26
0901004024,43
0901004025,50
0901004026,35
0901004027,12
0901004028,23
0901004029,15
0901004030,13
0902001000,6
0902001001,6
0902001002,34
0902001003,34
0902001004,41
0902001005,48
0902001006,19
0902001007,0
0902001008,25
0902001009,45
0902001010,32
0902001011,34
0902001012,49
0902001013,31
0902001014,19
0902001015,42
0902001016,37
0902001017,47
0902001018,39
0902001019,41
0902001020,34
0902001021,37
0902001022,29
0902001023,45
0902001024,25
0902001025,28
0902001026,45
0902001027,38
0902001028,25
0902002000,53
0902002001,48
0902002002,59
0902002003,38
0902002004,46
0902002005,27
0902002006,34
0902002007,1
0902002008,48
0902002009,46
0902002010,45
0902002011,47
0902002012,52
0902002013,42
0902002014,110
0902002015,50
0902002016,76
0902002017,56
0902002018,37
0902002019,23
0902002020,61
0902002021,32
0902002022,40
0902002023,0
0902002024,24
0902002025,26
0902002026,21
0902002027,28
0902002028,35
0902002029,18
0902002030,65
0902003000,24
0902003001,33
0902003002,20
0902003003,13
0902003004,29
0902003005,22
0902003006,35
0902003007,21
0902003008,27
0902003009,30
0902003010,22
0902003011,16
0902003012,32
0902003013,49
0902003014,55
0902003015,0
0902003016,22
0902003017,28
0902003018,36
0902003019,0
0902003020,32
0902003021,0
0902003022,46
0902003023,42
0902003024,30
0902003025,500
0902003026,250
0902003027,76
0902003028,0
0902003029,18
0902004000,241
0902004001,224
0902004002,60
0902004003,33
0902004004,60
0902004005,37
0902004006,24
0902004007,73
0902004008,41
0902004009,30
0902004010,36
0902004011,50
0902004012,43
0902004013,15
0902004014,179
0902004015,57
0902004018,9
0902004019,20
0902004020,30
0902004021,74
0902004022,0
0902004023,46
0902004024,31
0902004025,9
0902004026,16
0902004027,47
0902004028,15
0902004029,99
0902004030,81
0902004031,34
0902004034,0
0902004035,0
0902004036,102
0902004037,2
0902005000,49
0902005001,42
0902005002,38
0902005003,49
0902005004,39
0902005005,38
0902005006,49
0902005007,35
0902005008,35
0902005009,38
0902005010,21
0902005011,45
0902005012,40
0902005013,33
0902005014,33
0902005015,27
0902005016,41
0902005017,29
0902005018,47
0902005019,48
0902005020,40
0902005021,42
0902005022,40
0902005023,30
0903001000,46
0903001001,39
0903001002,34
0903001005,21
0903001006,40
0903001007,33
0903001008,35
0903001009,25
0903001010,51
0903001011,0
0903001012,0
0903001013,48
0903001014,48
0903001015,50
0903001016,35
0903001017,52
0903001018,34
0903001019,30
0903001020,10
0903001021,0
0903001022,51
0903001023,0
0903001024,60
0903001025,15
0903001026,106
0903001027,139
0903001028,32
0903001029,46
0903001030,51
0903001031,17
0903001032,30
0903001033,15
0903001034,0
0903001035,0
0903001036,0
0903001037,11
0903001038,53
0903001039,0
0903001040,11
0903001041,37
1001001000,33
1001001001,31
1001001002,45
1001001003,0
1001001004,32
1001001005,44
1001001006,65
1001001007,67
1001001008,29
1001001009,33
1001001010,22
1001001011,25
1001001012,73
1001001013,0
1001001014,32
1001001015,10
1001001016,2
1001001017,6
1001001018,8
1001001019,21
1001001020,28
1001001021,27
1001001022,10
1001001023,3
1001001024,0
1001001025,0
1001001026,8
1001001027,0
1001001028,36
1001001029,53
1001001030,41
1001001031,49
1001001032,42
1001001033,49
1001001034,58
1001001035,37
1001001036,59
1001001037,35
1001001038,38
1001001039,13
1001001040,26
1001001041,28
1001001042,16
1001002000,16
1001002001,3
1001002002,15
1001002003,34
1001002004,33
1001002005,31
1001002006,64
1001002007,79
1001002008,89
1001002009,9
1001002010,112
1001002011,17
1001002012,47
1001002013,50
1001002014,0
1001002015,56
1001002016,32
1001002017,20
1001002018,4
1001002019,0
1001002020,0
1001002021,22
1001002022,34
1001002023,95
1001002024,11
1001002025,80
1001002026,11
1001002027,23
1001002028,20
1001002029,12
1001002030,7
1001002031,16
1001002032,2
1001002033,19
1001002034,6
1001002035,23
1001002036,26
1001002037,36
1001002038,9
1001002039,16
1001002040,35
1001002041,76
1001002042,26
1001002043,16
1001002044,50
1001002045,77
1001002046,27
1001002047,0
1001002048,18
1001002049,78
1001002050,22
1001003000,48
1001003001,12
1001003002,77
1001003003,47
1001003004,62
1001003005,56
1001003006,31
1001003007,47
1001003008,40
1001003009,71
1001003010,53
1001003011,45
1001003012,74
1001003013,58
1001003014,46
1001003015,0
1001003016,41
1001003017,19
1001003018,18
1001004000,58
1001004001,48
1001004002,55
1001004003,57
1001004004,33
1001004005,42
1001004006,12
1001004007,9
1001004008,0
1001004009,11
1001004010,5
1001004011,0
1001004012,4
1001004013,20
1001004014,24
1001004015,53
1001004016,15
1001004017,48
1001004018,22
1001005000,58
1001005001,53
1001005002,30
1001005003,46
1001005004,57
1001005005,18
1001005006,2
1001005007,22
1001005008,13
1001005009,21
1001005010,23
1001005011,20
1001005012,51
1001005013,56
1001005014,45
1001005015,41
1001005016,0
1001005017,56
1001005018,37
1001005019,48
1001005020,90
1001005021,57
1001005022,43
1001005023,50
1001005024,65
1001005025,59
1001005026,53
1002001000,0
1002001001,0
1002001002,0
1002001003,0
1002001004,79
1002001005,53
1002001006,28
1002001007,29
1002001008,45
1002001009,72
1002001010,39
1002001011,24
1002001012,38
1002001013,26
1002001014,51
1002001015,47
1002001016,149
1002001017,0
1002001018,41
1002001019,57
1002001020,0
1002001021,0
1002001022,33
1002001023,38
1002001024,22
1002001025,20
1002001026,83
1002001027,54
1002001028,35
1002001029,47
1002002000,0
1002002001,7
1002002002,68
1002002003,30
1002002004,10
1002002005,0
1002002006,65
1002002007,50
1002002008,36
1002002009,39
1002002010,71
1002002011,0
1002002012,143
1002002013,36
1002002014,33
1002002015,41
1002002016,26
1002002017,48
1002002018,22
1002002019,50
1002002020,42
1002003000,47
1002003001,21
1002003002,35
1002003003,82
1002003004,33
1002003005,83
1002003006,62
1002003007,23
1002003008,9
1002003009,79
1002003010,68
1002003011,12
1002003012,12
1002003013,74
1002003014,49
1002003015,30
1002003016,48
1002003017,20
1002003018,45
1002003019,44
1002003020,40
1002003021,190
1002003022,68
1002004000,18
1002004001,2
1002004002,32
1002004003,57
1002004004,14
1002004005,51
1002004006,47
1002004007,59
1002004008,51
1002004009,180
1002004010,71
1002004011,4
1002004012,0
1002004013,0
1002004014,76
1002004015,41
1002004016,0
1002004017,38
1002004018,102
1002004019,0
1002004020,44
1002005000,60
1002005001,15
1002005002,1
1002005003,71
1002005004,0
1002005005,26
1002005006,6
1002005007,80
1002005008,43
1002005009,10
1002005010,228
1002005011,5
1002005012,5
1002005013,0
1002005014,0
1002005015,0
1002005016,129
1002005017,56
1002005018,61
1002005019,13
1002005020,48
1002005021,218
1002005022,19
1002006000,35
1002006001,24
1002006002,35
1002006003,37
1002006004,35
1002006005,80
1002006006,130
1002006007,27
1002006008,38
1002006009,49
1002006010,51
1002006011,38
1002006012,47
1002006013,46
1002006014,37
1002006015,34
1002006016,55
1002006017,55
1002006018,11
1002006019,35
1002007000,52
1002007001,59
1002007002,36
1002007003,32
1002007004,27
1002007005,56
1002007006,73
1002007007,34
1002007008,34
1002007009,22
1002007010,49
1002007011,2
1002007012,63
1002007013,28
1002007014,30
1002007015,30
1002007016,84
1002007017,57
1003001000,36
1003001001,10
1003001002,22
1003001003,0
1003001004,47
1003001005,28
1003001006,35
1003001007,25
1003001008,33
1003001009,0
1003001010,25
1003001011,24
1003001012,49
1003001013,44
1003001014,44
1003001015,45
1003001016,31
1003001017,28
1003001018,23
1003001019,19
1003001020,18
1003001021,25
1003001022,72
1003001023,30
1003001024,46
1003001025,36
1003001026,31
1003001027,42
1003001028,26
1003001029,23
1003001030,56
1003001031,13
1003001032,4
1003001033,86
1003001034,43
1003001035,0
1003002000,220
1003002001,436
1003002002,13
1003002003,36
1003002004,68
1003002005,51
1003002006,48
1003002007,99
1003002008,143
1003002009,83
1003002010,92
1003002011,31
1003003000,0
1003003001,129
1003003002,57
1003003003,113
1003003004,26
1003003005,24
1003003006,0
1003003007,27
1003003008,19
1003003009,43
1003003010,27
1003003011,27
1003003012,20
1003003013,22
1003003014,11
1003003015,28
1003003016,31
1003003017,18
1003003018,21
1003003019,22
1003003020,19
1003003021,26
1003004000,0
1003004001,42
1003004002,45
1003004003,51
1003004004,33
1003004005,0
1003004006,24
1003004007,21
1003004008,62
1003004009,52
1003004010,41
1003004011,65
1003004012,60
1003004013,22
1003004014,49
1003004015,243
1003004016,0
1003004017,67
1003004018,23
1003004019,0
1003004020,27
1003004021,83
1003004022,30
1003004023,38
1003004024,15
1003005000,34
1003005001,32
1003005002,28
1003005003,10
1003005004,9
1003005005,53
1003005006,26
1003005007,9
1003005008,15
1003005009,15
1003005010,37
1003005011,34
1003005012,26
1003005013,13
1003005014,58
1003005015,70
1003005016,25
1003005017,21
1003005018,47
1003005019,51
1003005020,43
1003005021,6
1003005022,23
1003005023,59
1003005024,46
1003005025,66
1003005026,0
1003005027,51
1003006000,54
1003006001,44
1003006002,29
1003006003,22
1003006004,22
1003006005,34
1003006006,48
1003006007,32
1003006008,43
1003006009,84
1003006010,65
1003006011,79
1003006012,472
1004001000,40
1004001001,62
1004001002,86
1004001003,31
1004001004,42
1004001005,180
1004001006,37
1004001007,37
1004001008,44
1004001009,40
1004001010,30
1004001011,55
1004001012,2
1004001013,36
1004001014,115
1004002000,27
1004002001,112
1004002002,72
1004002003,107
1004002004,91
1004002005,186
1004002006,56
1004002007,56
1004002008,114
1004002009,72
1004003000,10
1004003001,0
1004003002,60
1004003003,36
1004003004,126
1004003005,33
1004003006,43
1004003007,50
1004003008,16
1004003009,88
1004003010,56
1004003011,84
1004003012,134
1004003013,48
1004003014,20
1004003015,24
1004003016,64
1004003017,93
1004003018,72
1004003019,64
1004003020,116
1004003021,52
1004003022,47
1005001000,0
1005001001,0
1005001002,0
1005001003,0
1005001004,0
1005001005,0
1005001006,6
1005001007,91
1005001008,138
1005001009,0
1005001010,0
1005001011,241
1005001012,54
1005001013,147
1005001014,76
1005001015,76
1005001016,104
1005001017,61
1005002000,45
1005002001,53
1005002002,102
1005002003,94
1005002004,54
1005002005,53
1005002006,38
1005002007,14
1005002008,29
1005002009,43
1005002010,37
1005002011,30
1005002012,31
1005002013,29
1005002014,29
1005002015,18
1005002016,19
1005003000,192
1005003001,45
1005003002,40
1005003003,38
1005003004,46
1005003005,42
1005003006,20
1005003007,9
1005003008,37
1005003009,40
1005003010,38
1005003011,37
1005003012,26
1005003013,34
1005003014,32
1005003015,17
1005003016,13
1005003017,32
1005003018,30
1005003019,28
1005003020,21
1005003021,37
1005003022,18
1005003023,28
1005003024,27
1005004000,0
1005004001,0
1005004002,0
1005004003,0
1005004004,0
1005004005,0
1005004006,11
1005004007,18
1005004008,15
1005004009,17
1005004010,26
1005004011,18
1005004012,9
1005004013,48
1005004014,0
1005004015,22
1005004016,32
1005004017,42
1005004018,39
1005004019,47
1005004020,5
1005004021,11
1005004022,13
1005004023,16
1005004024,22
1005004025,19
1005004026,40
1005004027,43
1005004028,31
1005004029,17
1005004030,29
1005004031,16
1005004032,5
1005004033,17
1005004034,30
1005004035,38
1005004036,53
1005004037,23
1005004038,16
1005004039,23
1005004040,35
1005004041,41
1005004042,25
1005004043,22
1005004044,29
1005004045,40
1005004046,35
1005004047,31
1005004048,25
1005004049,43
1005004050,33
1005004051,45
1005004052,46
1005004053,34
1005004054,13
1005005000,18
1005005001,38
1005005002,28
1005005003,35
1005005004,7
1005005005,12
1005005006,52
1005005007,110
1005005008,134
1005005009,132
1005005010,153
1005005011,50
1005005012,36
1005005013,36
1005005014,2
1005005015,16
1005005016,5
1005005017,94
1005005018,68
1005005019,0
1005005020,27
1005005021,85
1005005022,0
1005005023,26
1005005024,14
1005005025,44
1005005026,51
1005005027,46
1005005028,8
1005005029,38
1005005030,40
1005005031,33
1005005032,35
1005005033,34
1005005034,15
1005005035,22
1005005036,57
1005005037,64
1005005038,27
1005005039,38
1005005040,23
1005005041,36
1005005042,11
1005005043,32
1006001000,1
1006001001,0
1006001002,0
1006001003,0
1006001004,0
1006001005,14
1006001006,23
1006001007,20
1006001008,0
1006001009,30
1006001010,20
1006001011,24
1006001012,49
1006001013,28
1006001014,45
1006001015,63
1006001016,25
1006001017,27
1006001018,38
1006001019,42
1006001020,50
1006001021,38
1006001022,32
1006001023,35
1006001024,39
1006001025,40
1006001026,50
1006001027,50
1006001028,61
1006001029,73
1006001030,2
1006001031,42
1006001032,53
1006001033,17
1006002000,0
1006002001,42
1006002002,13
1006002003,55
1006002004,62
1006002005,49
1006002006,35
1006002007,19
1006002008,13
1006002009,19
1006002010,43
1006002011,36
1006002012,44
1006002013,35
1006002014,31
1006002015,30
1006002016,28
1006002017,36
1006002018,28
1006002019,27
1006002020,20
1006002021,31
1006002022,61
1006002023,37
1006002024,6
1006002025,4
1006002026,24
1006002027,34
1006002028,28
1006002029,14
1006002030,15
1006002031,22
1006002032,19
1006002033,20
1006002034,22
1006002035,9
1006002036,18
1006002037,18
1006002038,0
1006003000,46
1006003001,18
1006003002,47
1006003003,25
1006003004,25
1006003005,23
1006003006,22
1006003007,23
1006003008,24
1006003009,24
