ID,stateID,countyID,tractID,pop,crimes_2001_to_present,311_service_requests_vacant_and_abandoned_building
170311709,17,031,1709,1713,0,0
170311710,17,031,1710,7287,0,0
170311711,17,031,1711,4110,0,0
170311801,17,031,1801,6156,0,0
170311901,17,031,1901,2488,0,0
170311902,17,031,1902,5853,0,0
170311903,17,031,1903,5794,0,0
170311904,17,031,1904,9715,0,0
170311906,17,031,1906,10061,0,0
170311907,17,031,1907,7824,0,0
170311908,17,031,1908,6632,0,0
170311909,17,031,1909,2040,0,0
170311910,17,031,1910,2559,0,0
170311911,17,031,1911,7414,0,0
170311912,17,031,1912,3853,0,0
170311913,17,031,1913,10431,0,0
170312001,17,031,2001,4354,0,0
170312002,17,031,2002,5427,0,0
170312003,17,031,2003,2209,0,0
170312004,17,031,2004,7999,0,0
170312101,17,031,2101,4028,0,0
170312104,17,031,2104,3035,0,0
170312105,17,031,2105,8386,0,0
170312106,17,031,2106,7787,0,0
170312107,17,031,2107,4309,0,0
170312108,17,031,2108,1196,0,0
170312109,17,031,2109,3068,0,0
170312203,17,031,2203,2102,0,0
170312204,17,031,2204,2495,0,0
170312205,17,031,2205,2626,0,0
170312206,17,031,2206,6830,0,0
170312207,17,031,2207,7497,0,0
170312209,17,031,2209,6869,0,0
170312210,17,031,2210,2923,0,0
170312211,17,031,2211,4870,0,0
170312212,17,031,2212,2860,0,0
170312213,17,031,2213,3222,0,0
170312214,17,031,2214,3020,0,0
170312215,17,031,2215,2829,0,0
170312216,17,031,2216,2969,0,0
170312222,17,031,2222,1912,0,0
170312225,17,031,2225,1410,0,0
170312226,17,031,2226,1602,0,0
170312227,17,031,2227,2235,0,0
170312228,17,031,2228,1074,0,0
170312229,17,031,2229,1244,0,0
170312301,17,031,2301,1623,0,0
170312302,17,031,2302,2107,0,0
170312303,17,031,2303,1024,0,0
170312304,17,031,2304,2609,0,0
170312305,17,031,2305,3570,0,0
170312306,17,031,2306,6818,0,0
170312307,17,031,2307,6364,0,0
170312308,17,031,2308,1314,0,0
170312309,17,031,2309,5399,0,0
170312311,17,031,2311,1236,0,0
170312312,17,031,2312,6095,0,0
170312315,17,031,2315,6039,0,0
170312402,17,031,2402,1452,0,0
170312403,17,031,2403,1317,0,0
170312405,17,031,2405,2251,0,0
170312406,17,031,2406,1457,0,0
170312407,17,031,2407,1535,0,0
170312408,17,031,2408,1617,0,0
170312409,17,031,2409,1182,0,0
170312410,17,031,2410,2047,0,0
170312411,17,031,2411,3682,0,0
170312412,17,031,2412,1696,0,0
170312413,17,031,2413,1857,0,0
170312414,17,031,2414,4595,0,0
170312415,17,031,2415,2872,0,0
170312416,17,031,2416,3477,0,0
170312420,17,031,2420,4565,0,0
170312421,17,031,2421,3648,0,0
170312422,17,031,2422,3590,0,0
170312423,17,031,2423,3240,0,0
170312424,17,031,2424,2764,0,0
170312425,17,031,2425,3438,0,0
170312426,17,031,2426,5831,0,0
170312427,17,031,2427,2029,0,0
170312428,17,031,2428,1436,0,0
170312429,17,031,2429,1670,0,0
170312430,17,031,2430,2204,0,0
170312431,17,031,2431,2242,0,0
170312432,17,031,2432,2170,0,0
170312433,17,031,2433,2386,0,0
170312434,17,031,2434,3001,0,0
170312435,17,031,2435,2937,0,0
170312502,17,031,2502,2669,0,0
170312503,17,031,2503,4725,0,0
170312504,17,031,2504,5887,0,0
170312505,17,031,2505,7538,0,0
170312506,17,031,2506,4422,0,0
170312507,17,031,2507,6098,0,0
170312508,17,031,2508,2488,0,0
170312510,17,031,2510,1181,0,0
170312511,17,031,2511,4302,0,0
170312512,17,031,2512,4196,0,0
170312513,17,031,2513,4921,0,0
170312514,17,031,2514,3983,0,0
170312515,17,031,2515,4784,0,0
170312516,17,031,2516,3649,0,0
170312517,17,031,2517,1495,0,0
170312518,17,031,2518,5112,0,0
170312519,17,031,2519,5731,0,0
170312520,17,031,2520,5719,0,0
170312521,17,031,2521,7808,0,0
170312522,17,031,2522,7562,0,0
170312601,17,031,2601,1248,0,0
170312602,17,031,2602,1136,0,0
170312603,17,031,2603,1564,0,0
170312604,17,031,2604,1271,0,0
170312605,17,031,2605,1934,0,0
170312606,17,031,2606,2478,0,0
170312607,17,031,2607,2032,0,0
170312608,17,031,2608,2539,0,0
170312609,17,031,2609,1480,0,0
170312610,17,031,2610,2319,0,0
170312705,17,031,2705,1689,0,0
170312712,17,031,2712,1170,0,0
170312713,17,031,2713,1045,0,0
170312714,17,031,2714,1527,0,0
170312715,17,031,2715,1397,0,0
170312718,17,031,2718,970,0,0
170312801,17,031,2801,4872,0,0
170312804,17,031,2804,1366,0,0
170312808,17,031,2808,755,0,0
170312809,17,031,2809,942,0,0
170312819,17,031,2819,4844,0,0
170312827,17,031,2827,2349,0,0
170312828,17,031,2828,1691,0,0
170312831,17,031,2831,2703,0,0
170312832,17,031,2832,1664,0,0
170312838,17,031,2838,3688,0,0
170312909,17,031,2909,4530,0,0
170312912,17,031,2912,2240,0,0
170312916,17,031,2916,1055,0,0
170312922,17,031,2922,2961,0,0
170312924,17,031,2924,2268,0,0
170312925,17,031,2925,4140,0,0
170313005,17,031,3005,3257,0,0
170313006,17,031,3006,3212,0,0
170313007,17,031,3007,5194,0,0
170313008,17,031,3008,4610,0,0
170313009,17,031,3009,5050,0,0
170313011,17,031,3011,2617,0,0
170313012,17,031,3012,4012,0,0
170313016,17,031,3016,4654,0,0
170313017,17,031,3017,8426,0,0
170313018,17,031,3018,12880,0,0
170313102,17,031,3102,1210,0,0
170313103,17,031,3103,1697,0,0
170313104,17,031,3104,1332,0,0
170313105,17,031,3105,1700,0,0
170313106,17,031,3106,5868,0,0
170313107,17,031,3107,1692,0,0
170313108,17,031,3108,4516,0,0
170313109,17,031,3109,5123,0,0
170313201,17,031,3201,10848,0,0
170313204,17,031,3204,2518,0,0
170313206,17,031,3206,4256,0,0
170313301,17,031,3301,16735,0,0
170313302,17,031,3302,3806,0,0
170313403,17,031,3403,1695,0,0
170313404,17,031,3404,1900,0,0
170313405,17,031,3405,1544,0,0
170313406,17,031,3406,907,0,0
170313501,17,031,3501,2144,0,0
170313504,17,031,3504,389,0,0
170313510,17,031,3510,3267,0,0
170313511,17,031,3511,1960,0,0
170313514,17,031,3514,1437,0,0
170313515,17,031,3515,255,0,0
170313602,17,031,3602,1443,0,0
170313801,17,031,3801,1840,0,0
170313802,17,031,3802,1680,0,0
170313805,17,031,3805,752,0,0
170313807,17,031,3807,1243,0,0
170313812,17,031,3812,2167,0,0
170313814,17,031,3814,1612,0,0
170313815,17,031,3815,237,0,0
170313817,17,031,3817,0,0,0
170313818,17,031,3818,1188,0,0
170313819,17,031,3819,1295,0,0
170313901,17,031,3901,1268,0,0
170313902,17,031,3902,1840,0,0
170313903,17,031,3903,2743,0,0
170313904,17,031,3904,2934,0,0
170313905,17,031,3905,1598,0,0
170313906,17,031,3906,1866,0,0
170313907,17,031,3907,5592,0,0
170314003,17,031,4003,1567,0,0
170314004,17,031,4004,1955,0,0
170314005,17,031,4005,2258,0,0
170314008,17,031,4008,2701,0,0
170314101,17,031,4101,1802,0,0
170314102,17,031,4102,1443,0,0
170314105,17,031,4105,2557,0,0
170314106,17,031,4106,2327,0,0
170314107,17,031,4107,2154,0,0
170314108,17,031,4108,2662,0,0
170314109,17,031,4109,2541,0,0
170314110,17,031,4110,2800,0,0
170314111,17,031,4111,1838,0,0
170314112,17,031,4112,1640,0,0
170314201,17,031,4201,1441,0,0
170314202,17,031,4202,1723,0,0
170314203,17,031,4203,2488,0,0
170314204,17,031,4204,1329,0,0
170314205,17,031,4205,2624,0,0
170314206,17,031,4206,2219,0,0
170314207,17,031,4207,3261,0,0
170314208,17,031,4208,2213,0,0
170314212,17,031,4212,1380,0,0
170314301,17,031,4301,6652,0,0
170314302,17,031,4302,4680,0,0
170314303,17,031,4303,2336,0,0
170314304,17,031,4304,2892,0,0
170314305,17,031,4305,3604,0,0
170314306,17,031,4306,1665,0,0
170314307,17,031,4307,2210,0,0
170314308,17,031,4308,1763,0,0
170314309,17,031,4309,1814,0,0
170314312,17,031,4312,3078,0,0
170314313,17,031,4313,7711,0,0
170314314,17,031,4314,6418,0,0
170314401,17,031,4401,6873,0,0
170314402,17,031,4402,7886,0,0
170314403,17,031,4403,4757,0,0
170314406,17,031,4406,2080,0,0
170314407,17,031,4407,1545,0,0
170314408,17,031,4408,1800,0,0
170314409,17,031,4409,2610,0,0
170314503,17,031,4503,3615,0,0
170314601,17,031,4601,3405,0,0
170314602,17,031,4602,2385,0,0
